cycog_iid	cycog_cns_product
CyCOG_60002950	Pimeloyl-ACP methyl ester carboxylesterase
CyCOG_60002951	phosphonatase-like hydrolase
CyCOG_60002952	N-carbamoyl-L-amino-acid hydrolase
CyCOG_60002953	hypothetical protein
CyCOG_60002954	voltage-gated potassium channel
CyCOG_60002955	hypothetical protein
CyCOG_60002956	ribosomal large subunit pseudouridine synthase A
CyCOG_60002957	deoxyribodipyrimidine photo-lyase family protein (cryptochrome)
CyCOG_60002958	Chlorophyll A-B binding protein
CyCOG_60002959	hypothetical protein
CyCOG_60002960	hypothetical protein
CyCOG_60002961	hypothetical protein
CyCOG_60002962	hypothetical protein
CyCOG_60002963	Predicted oxidoreductase
CyCOG_60002964	Icc protein
CyCOG_60002965	hypothetical protein
CyCOG_60002966	molybdopterin synthase subunit MoaE
CyCOG_60002967	hypothetical protein
CyCOG_60002968	hypothetical protein
CyCOG_60002969	Predicted HD phosphohydrolase
CyCOG_60002970	hypothetical protein
CyCOG_60002971	FAD dependent oxidoreductase TIGR03364
CyCOG_60002972	hypothetical protein
CyCOG_60002973	hypothetical protein
CyCOG_60002974	hypothetical protein
CyCOG_60002975	hypothetical protein
CyCOG_60002976	hypothetical protein
CyCOG_60002977	hypothetical protein
CyCOG_60002978	hypothetical protein
CyCOG_60002979	hypothetical protein
CyCOG_60002980	hypothetical protein
CyCOG_60002981	hypothetical protein
CyCOG_60002982	transcriptional regulator, PadR family
CyCOG_60002983	hypothetical protein
CyCOG_60002984	Photosystem II complex subunit Ycf12
CyCOG_60002985	hypothetical protein
CyCOG_60002986	transketolase subunit B
CyCOG_60002987	hypothetical protein
CyCOG_60002988	hypothetical protein
CyCOG_60002989	hypothetical protein
CyCOG_60002990	hypothetical protein
CyCOG_60002991	ADP-ribose pyrophosphatase
CyCOG_60002992	hypothetical protein
CyCOG_60002993	hypothetical protein
CyCOG_60002994	hypothetical protein
CyCOG_60002995	hypothetical protein
CyCOG_60002996	hypothetical protein
CyCOG_60002997	Mechanosensitive ion channel
CyCOG_60002998	hypothetical protein
CyCOG_60002999	hypothetical protein
CyCOG_60003000	hypothetical protein
CyCOG_60003001	hypothetical protein
CyCOG_60003002	hypothetical protein
CyCOG_60003003	hypothetical protein
CyCOG_60003004	hypothetical protein
CyCOG_60003005	hypothetical protein
CyCOG_60003006	hypothetical protein
CyCOG_60003007	hypothetical protein
CyCOG_60003008	Uncharacterized membrane protein YqhA
CyCOG_60003009	prepilin-type N-terminal cleavage/methylation domain-containing protein
CyCOG_60003010	transketolase subunit A
CyCOG_60003011	hypothetical protein
CyCOG_60003012	hypothetical protein
CyCOG_60003013	Putative 2OG-Fe(II) oxygenase
CyCOG_60003014	Site-specific DNA recombinase
CyCOG_60003015	hypothetical protein
CyCOG_60003016	2TM domain-containing protein
CyCOG_60003017	hypothetical protein
CyCOG_60003018	TM2 domain-containing protein
CyCOG_60003019	hypothetical protein
CyCOG_60003020	hypothetical protein
CyCOG_60003021	protein of unknown function (DUF1830)
CyCOG_60003022	T5orf172 domain-containing protein
CyCOG_60003023	Rhamnose utilisation protein RhaD, predicted bifunctional aldolase and dehydrogenase
CyCOG_60003024	hypothetical protein
CyCOG_60003025	hypothetical protein
CyCOG_60003026	hypothetical protein
CyCOG_60003027	hypothetical protein
CyCOG_60003028	hypothetical protein
CyCOG_60003029	Methyltransferase domain-containing protein
CyCOG_60003030	hypothetical protein
CyCOG_60003031	hypothetical protein
CyCOG_60003032	hypothetical protein
CyCOG_60003033	amino acid/amide ABC transporter substrate-binding protein, HAAT family
CyCOG_60003034	hypothetical protein
CyCOG_60003035	Bacteriophage T4 gp9/10-like protein
CyCOG_60003036	hypothetical protein
CyCOG_60003037	hypothetical protein
CyCOG_60003038	hypothetical protein
CyCOG_60003039	hypothetical protein
CyCOG_60003040	hypothetical protein
CyCOG_60003041	hypothetical protein
CyCOG_60003042	hypothetical protein
CyCOG_60003043	nif11-like leader peptide domain-containing protein
CyCOG_60003044	Choline dehydrogenase
CyCOG_60003045	hypothetical protein
CyCOG_60003046	hypothetical protein
CyCOG_60003047	Protein of unknown function (DUF2656)
CyCOG_60003048	Protein of unknown function (DUF2752)
CyCOG_60003049	L-asparaginase
CyCOG_60003050	hypothetical protein
CyCOG_60003051	HpcH/HpaI aldolase/citrate lyase family protein
CyCOG_60003052	hypothetical protein
CyCOG_60003053	hypothetical protein
CyCOG_60003054	multiple antibiotic resistance protein
CyCOG_60003055	hypothetical protein
CyCOG_60003056	Cyclic nucleotide-binding domain-containing protein
CyCOG_60003057	pyruvate dehydrogenase E1 component alpha subunit
CyCOG_60003058	hypothetical protein
CyCOG_60003059	hypothetical protein
CyCOG_60003060	hypothetical protein
CyCOG_60003061	hypothetical protein
CyCOG_60003062	hypothetical protein
CyCOG_60003063	hypothetical protein
CyCOG_60003064	hypothetical protein
CyCOG_60003065	carbohydrate ABC transporter substrate-binding protein, CUT1 family
CyCOG_60003066	hypothetical protein
CyCOG_60003067	hypothetical protein
CyCOG_60003068	Ferredoxin thioredoxin reductase variable alpha chain
CyCOG_60003069	hypothetical protein
CyCOG_60003070	hypothetical protein
CyCOG_60003071	Las17-binding protein actin regulator
CyCOG_60003072	hypothetical protein
CyCOG_60003073	hypothetical protein
CyCOG_60003074	hypothetical protein
CyCOG_60003075	hypothetical protein
CyCOG_60003076	hypothetical protein
CyCOG_60003077	hypothetical protein
CyCOG_60003078	hypothetical protein
CyCOG_60003079	divinylchlorophyllide 8-vinylreductase
CyCOG_60003080	hypothetical protein
CyCOG_60003081	Predicted arabinose efflux permease, MFS family
CyCOG_60003082	Uncharacterized membrane protein
CyCOG_60003083	VTC domain-containing protein
CyCOG_60003084	Sulfotransferase family protein
CyCOG_60003085	hypothetical protein
CyCOG_60003086	T/G mismatch-specific endonuclease
CyCOG_60003087	hypothetical protein
CyCOG_60003088	hypothetical protein
CyCOG_60003089	CopG-like RHH_1 or ribbon-helix-helix domain-containing protein, RHH_5
CyCOG_60003090	hypothetical protein
CyCOG_60003091	hypothetical protein
CyCOG_60003092	Protein of unknown function (DUF2605)
CyCOG_60003093	hypothetical protein
CyCOG_60003094	flotillin
CyCOG_60003095	hypothetical protein
CyCOG_60003096	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003097	hypothetical protein
CyCOG_60003098	hypothetical protein
CyCOG_60003099	glutamate decarboxylase
CyCOG_60003100	hypothetical protein
CyCOG_60003101	hypothetical protein
CyCOG_60003102	hypothetical protein
CyCOG_60003103	hypothetical protein
CyCOG_60003104	hypothetical protein
CyCOG_60003105	capsular polysaccharide transport system permease protein
CyCOG_60003106	hypothetical protein
CyCOG_60003107	hypothetical protein
CyCOG_60003108	flotillin
CyCOG_60003109	protein of unknown function (DUF4956)
CyCOG_60003110	Uncharacterized conserved protein, DUF427 family
CyCOG_60003111	CotH protein
CyCOG_60003112	hypothetical protein
CyCOG_60003113	hypothetical protein
CyCOG_60003114	nitrate/nitrite transport system substrate-binding protein
CyCOG_60003115	hypothetical protein
CyCOG_60003116	Sulfotransferase family protein
CyCOG_60003117	DNA recombination protein RmuC
CyCOG_60003118	Predicted arabinose efflux permease, MFS family
CyCOG_60003119	hypothetical protein
CyCOG_60003120	carbonic anhydrase
CyCOG_60003121	Site-specific recombinase XerD
CyCOG_60003122	hypothetical protein
CyCOG_60003123	hypothetical protein
CyCOG_60003124	hypothetical protein
CyCOG_60003125	hypothetical protein
CyCOG_60003126	ATP-dependent RNA helicase RhlE
CyCOG_60003127	hypothetical protein
CyCOG_60003128	hypothetical protein
CyCOG_60003129	hypothetical protein
CyCOG_60003130	GMP synthase - Glutamine amidotransferase
CyCOG_60003131	hypothetical protein
CyCOG_60003132	hypothetical protein
CyCOG_60003133	hypothetical protein
CyCOG_60003134	hypothetical protein
CyCOG_60003135	hypothetical protein
CyCOG_60003136	hypothetical protein
CyCOG_60003137	cellulose synthase (UDP-forming)
CyCOG_60003138	hypothetical protein
CyCOG_60003139	hypothetical protein
CyCOG_60003140	hypothetical protein
CyCOG_60003141	hypothetical protein
CyCOG_60003142	hypothetical protein
CyCOG_60003143	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003144	hypothetical protein
CyCOG_60003145	hypothetical protein
CyCOG_60003146	peptidoglycan glycosyltransferase
CyCOG_60003147	hypothetical protein
CyCOG_60003148	AAA domain-containing protein
CyCOG_60003149	hypothetical protein
CyCOG_60003150	hypothetical protein
CyCOG_60003151	hypothetical protein
CyCOG_60003152	Probable Zinc-ribbon domain-containing protein
CyCOG_60003153	hypothetical protein
CyCOG_60003154	hypothetical protein
CyCOG_60003155	hypothetical protein
CyCOG_60003156	hypothetical protein
CyCOG_60003157	H+/Cl- antiporter ClcA
CyCOG_60003158	ADP-glyceromanno-heptose 6-epimerase precursor
CyCOG_60003159	hypothetical protein
CyCOG_60003160	hypothetical protein
CyCOG_60003161	phycoerythrin-associated linker protein
CyCOG_60003162	hypothetical protein
CyCOG_60003163	hypothetical protein
CyCOG_60003164	hypothetical protein
CyCOG_60003165	hypothetical protein
CyCOG_60003166	hypothetical protein
CyCOG_60003167	hypothetical protein
CyCOG_60003168	hypothetical protein
CyCOG_60003169	Protein of unknown function (DUF2808)
CyCOG_60003170	hypothetical protein
CyCOG_60003171	Predicted Na+-dependent transporter
CyCOG_60003172	Macrocin-O-methyltransferase (TylF)
CyCOG_60003173	Phosphoglycolate phosphatase, HAD superfamily
CyCOG_60003174	hypothetical protein
CyCOG_60003175	EpsG family protein
CyCOG_60003176	hypothetical protein
CyCOG_60003177	L,D-transpeptidase catalytic domain
CyCOG_60003178	hypothetical protein
CyCOG_60003179	hypothetical protein
CyCOG_60003180	hypothetical protein
CyCOG_60003181	2OG-Fe(II) oxygenase
CyCOG_60003182	hypothetical protein
CyCOG_60003183	Glycosyl transferase family 2
CyCOG_60003184	menaquinone-dependent protoporphyrinogen oxidase
CyCOG_60003185	NfeD-like C-terminal, partner-binding
CyCOG_60003186	Signal transduction histidine kinase
CyCOG_60003187	hypothetical protein
CyCOG_60003188	hypothetical protein
CyCOG_60003189	hypothetical protein
CyCOG_60003190	hypothetical protein
CyCOG_60003191	hypothetical protein
CyCOG_60003192	L,D-transpeptidase catalytic domain
CyCOG_60003193	Phenylpropionate dioxygenase, large terminal subunit
CyCOG_60003194	hypothetical protein
CyCOG_60003195	hypothetical protein
CyCOG_60003196	hypothetical protein
CyCOG_60003197	hypothetical protein
CyCOG_60003198	TonB family C-terminal domain-containing protein
CyCOG_60003199	hypothetical protein
CyCOG_60003200	capsular polysaccharide transport system permease protein
CyCOG_60003201	SdiA-regulated
CyCOG_60003202	hypothetical protein
CyCOG_60003203	hypothetical protein
CyCOG_60003204	Acyltransferase family protein
CyCOG_60003205	hypothetical protein
CyCOG_60003206	chromate transporter
CyCOG_60003207	capsular polysaccharide export protein
CyCOG_60003208	Tetratricopeptide repeat-containing protein
CyCOG_60003209	hypothetical protein
CyCOG_60003210	Membrane protease subunit, stomatin/prohibitin family, contains C-terminal Zn-ribbon domain
CyCOG_60003211	LSU ribosomal protein L36P
CyCOG_60003212	hypothetical protein
CyCOG_60003213	hypothetical protein
CyCOG_60003214	protein of unknown function (DUF3598)
CyCOG_60003215	glyceraldehyde-3-phosphate dehydrogenase (NAD+)
CyCOG_60003216	Uncharacterized membrane protein YccF, DUF307 family
CyCOG_60003217	putative membrane protein
CyCOG_60003218	cation diffusion facilitator family transporter
CyCOG_60003219	amino acid ABC transporter ATP-binding protein, PAAT family
CyCOG_60003220	type I restriction enzyme, R subunit
CyCOG_60003221	endoglucanase
CyCOG_60003222	Protein of unknown function (DUF2721)
CyCOG_60003223	hypothetical protein
CyCOG_60003224	MoxR-like ATPase
CyCOG_60003225	bacteriocin-type transport-associated protein
CyCOG_60003226	vancomycin resistance protein VanW
CyCOG_60003227	hypothetical protein
CyCOG_60003228	hypothetical protein
CyCOG_60003229	transcriptional regulator, AlpA family
CyCOG_60003230	hypothetical protein
CyCOG_60003231	hypothetical protein
CyCOG_60003232	Dipeptidyl aminopeptidase/acylaminoacyl peptidase
CyCOG_60003233	hypothetical protein
CyCOG_60003234	hypothetical protein
CyCOG_60003235	hypothetical protein
CyCOG_60003236	hypothetical protein
CyCOG_60003237	hypothetical protein
CyCOG_60003238	hypothetical protein
CyCOG_60003239	2OG-Fe(II) oxygenase
CyCOG_60003240	hypothetical protein
CyCOG_60003241	hypothetical protein
CyCOG_60003242	aminopeptidase-like domain-containing protein
CyCOG_60003243	Methyltransferase domain-containing protein
CyCOG_60003244	L-alanine-DL-glutamate epimerase
CyCOG_60003245	LemA protein
CyCOG_60003246	MFS transporter, SP family, sugar:H+ symporter
CyCOG_60003247	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003248	hypothetical protein
CyCOG_60003249	hypothetical protein
CyCOG_60003250	hypothetical protein
CyCOG_60003251	hypothetical protein
CyCOG_60003252	hypothetical protein
CyCOG_60003253	outer membrane transport energization protein ExbB
CyCOG_60003254	Protein of unknown function (DUF3137)
CyCOG_60003255	Uncharacterized conserved protein, NAD-dependent epimerase/dehydratase family
CyCOG_60003256	hypothetical protein
CyCOG_60003257	conserved hypothetical protein
CyCOG_60003258	hypothetical protein
CyCOG_60003259	Multidrug resistance efflux pump
CyCOG_60003260	Glycosyltransferase sugar-binding region containing DXD motif-containing protein
CyCOG_60003261	Protein of unknown function (DUF3987)
CyCOG_60003262	hypothetical protein
CyCOG_60003263	putative membrane protein
CyCOG_60003264	Autotransporter beta-domain-containing protein
CyCOG_60003265	hypothetical protein
CyCOG_60003266	hypothetical protein
CyCOG_60003267	thioredoxin
CyCOG_60003268	hypothetical protein
CyCOG_60003269	hypothetical protein
CyCOG_60003270	hypothetical protein
CyCOG_60003271	hypothetical protein
CyCOG_60003272	hypothetical protein
CyCOG_60003273	hypothetical protein
CyCOG_60003274	hypothetical protein
CyCOG_60003275	hypothetical protein
CyCOG_60003276	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003277	hypothetical protein
CyCOG_60003278	hypothetical protein
CyCOG_60003279	amidophosphoribosyltransferase
CyCOG_60003280	hypothetical protein
CyCOG_60003281	hypothetical protein
CyCOG_60003282	hypothetical protein
CyCOG_60003283	hypothetical protein
CyCOG_60003284	hypothetical protein
CyCOG_60003285	Amidohydrolase
CyCOG_60003286	hypothetical protein
CyCOG_60003287	zinc/manganese transport system permease protein
CyCOG_60003288	hypothetical protein
CyCOG_60003289	Uncharacterized conserved protein
CyCOG_60003290	hypothetical protein
CyCOG_60003291	hypothetical protein
CyCOG_60003292	Ser-tRNA(Thr) hydrolase (EC 3.1.1.-)/threonyl-tRNA synthetase (EC 6.1.1.3)
CyCOG_60003293	hypothetical protein
CyCOG_60003294	hypothetical protein
CyCOG_60003295	hypothetical protein
CyCOG_60003296	ammonium transporter
CyCOG_60003297	hypothetical protein
CyCOG_60003298	chitinase
CyCOG_60003299	hypothetical protein
CyCOG_60003300	Protein of unknown function (DUF2973)
CyCOG_60003301	hypothetical protein
CyCOG_60003302	hypothetical protein
CyCOG_60003303	hypothetical protein
CyCOG_60003304	hypothetical protein
CyCOG_60003305	methyltransferase, FkbM family
CyCOG_60003306	hypothetical protein
CyCOG_60003307	type IV pilus assembly protein PilN
CyCOG_60003308	two-component system, OmpR family, phosphate regulon response regulator PhoB
CyCOG_60003309	hypothetical protein
CyCOG_60003310	hypothetical protein
CyCOG_60003311	Proto-chlorophyllide reductase subunit
CyCOG_60003312	hypothetical protein
CyCOG_60003313	hypothetical protein
CyCOG_60003314	hypothetical protein
CyCOG_60003315	hypothetical protein
CyCOG_60003316	hypothetical protein
CyCOG_60003317	hypothetical protein
CyCOG_60003318	zinc/manganese transport system ATP-binding protein
CyCOG_60003319	hypothetical protein
CyCOG_60003320	hypothetical protein
CyCOG_60003321	hypothetical protein
CyCOG_60003322	Transglutaminase-like superfamily protein
CyCOG_60003323	ATP-binding cassette, subfamily B
CyCOG_60003324	hypothetical protein
CyCOG_60003325	hypothetical protein
CyCOG_60003326	Superfamily I DNA and/or RNA helicase
CyCOG_60003327	UDP-galactopyranose mutase
CyCOG_60003328	hypothetical protein
CyCOG_60003329	Di-haem oxidoreductase, putative peroxidase
CyCOG_60003330	hypothetical protein
CyCOG_60003331	hypothetical protein
CyCOG_60003332	Site-specific recombinase XerD
CyCOG_60003333	hypothetical protein
CyCOG_60003334	hypothetical protein
CyCOG_60003335	hypothetical protein
CyCOG_60003336	hypothetical protein
CyCOG_60003337	hypothetical protein
CyCOG_60003338	hypothetical protein
CyCOG_60003339	hypothetical protein
CyCOG_60003340	hypothetical protein
CyCOG_60003341	hypothetical protein
CyCOG_60003342	hypothetical protein
CyCOG_60003343	hypothetical protein
CyCOG_60003344	hypothetical protein
CyCOG_60003345	MSMEG_0570 family protein
CyCOG_60003346	hypothetical protein
CyCOG_60003347	hypothetical protein
CyCOG_60003348	hypothetical protein
CyCOG_60003349	hypothetical protein
CyCOG_60003350	hypothetical protein
CyCOG_60003351	putative MFS transporter, AGZA family, xanthine/uracil permease
CyCOG_60003352	zinc/manganese transport system substrate-binding protein
CyCOG_60003353	prolyl 4-hydroxylase
CyCOG_60003354	hypothetical protein
CyCOG_60003355	Choline dehydrogenase
CyCOG_60003356	hypothetical protein
CyCOG_60003357	Cyclic nucleotide-binding domain-containing protein
CyCOG_60003358	lipopolysaccharide transport system ATP-binding protein
CyCOG_60003359	dTDP-4-dehydrorhamnose reductase
CyCOG_60003360	protein of unknown function (DUF4347)
CyCOG_60003361	2OG-Fe(II) oxygenase superfamily protein
CyCOG_60003362	hypothetical protein
CyCOG_60003363	hypothetical protein
CyCOG_60003364	hypothetical protein
CyCOG_60003365	hypothetical protein
CyCOG_60003366	hypothetical protein
CyCOG_60003367	hypothetical protein
CyCOG_60003368	hypothetical protein
CyCOG_60003369	phycocyanobilin lyase beta subunit
CyCOG_60003370	hypothetical protein
CyCOG_60003371	hypothetical protein
CyCOG_60003372	hypothetical protein
CyCOG_60003373	hypothetical protein
CyCOG_60003374	hypothetical protein
CyCOG_60003375	hypothetical protein
CyCOG_60003376	hypothetical protein
CyCOG_60003377	hypothetical protein
CyCOG_60003378	hypothetical protein
CyCOG_60003379	hypothetical protein
CyCOG_60003380	dTDP-4-dehydrorhamnose 3,5-epimerase
CyCOG_60003381	hypothetical protein
CyCOG_60003382	Nucleoside-diphosphate-sugar epimerase
CyCOG_60003383	Coenzyme PQQ synthesis protein D (PqqD)
CyCOG_60003384	hypothetical protein
CyCOG_60003385	pyruvate-ferredoxin/flavodoxin oxidoreductase
CyCOG_60003386	hypothetical protein
CyCOG_60003387	Uncharacterized conserved protein
CyCOG_60003388	hypothetical protein
CyCOG_60003389	2-dehydro-3-deoxyglucarate aldolase
CyCOG_60003390	hypothetical protein
CyCOG_60003391	Collagenase-like protease, PrtC family
CyCOG_60003392	Subtilase family protein
CyCOG_60003393	Sugar phosphate permease
CyCOG_60003394	hypothetical protein
CyCOG_60003395	hypothetical protein
CyCOG_60003396	hypothetical protein
CyCOG_60003397	hypothetical protein
CyCOG_60003398	hypothetical protein
CyCOG_60003399	hypothetical protein
CyCOG_60003400	hypothetical protein
CyCOG_60003401	hypothetical protein
CyCOG_60003402	hypothetical protein
CyCOG_60003403	Uncharacterized membrane protein YphA, DoxX/SURF4 family
CyCOG_60003404	hypothetical protein
CyCOG_60003405	hypothetical protein
CyCOG_60003406	Sulfotransferase domain-containing protein
CyCOG_60003407	hypothetical protein
CyCOG_60003408	hypothetical protein
CyCOG_60003409	hypothetical protein
CyCOG_60003410	hypothetical protein
CyCOG_60003411	hypothetical protein
CyCOG_60003412	hypothetical protein
CyCOG_60003413	hypothetical protein
CyCOG_60003414	hypothetical protein
CyCOG_60003415	hypothetical protein
CyCOG_60003416	hypothetical protein
CyCOG_60003417	hypothetical protein
CyCOG_60003418	chromate transporter
CyCOG_60003419	hypothetical protein
CyCOG_60003420	Phage integrase family protein
CyCOG_60003421	SdiA-regulated
CyCOG_60003422	Glycosyltransferase, GT2 family
CyCOG_60003423	type 2 lantibiotic biosynthesis protein LanM
CyCOG_60003424	hypothetical protein
CyCOG_60003425	hypothetical protein
CyCOG_60003426	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003427	transport factor 2 (NTF2) domain-containing protein
CyCOG_60003428	omega-6 fatty acid desaturase (delta-12 desaturase)
CyCOG_60003429	hypothetical protein
CyCOG_60003430	hypothetical protein
CyCOG_60003431	methyltransferase, FkbM family
CyCOG_60003432	hypothetical protein
CyCOG_60003433	hypothetical protein
CyCOG_60003434	hypothetical protein
CyCOG_60003435	hypothetical protein
CyCOG_60003436	hypothetical protein
CyCOG_60003437	hypothetical protein
CyCOG_60003438	hypothetical protein
CyCOG_60003439	hypothetical protein
CyCOG_60003440	hypothetical protein
CyCOG_60003441	hypothetical protein
CyCOG_60003442	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003443	hypothetical protein
CyCOG_60003444	hypothetical protein
CyCOG_60003445	hypothetical protein
CyCOG_60003446	hypothetical protein
CyCOG_60003447	hypothetical protein
CyCOG_60003448	hypothetical protein
CyCOG_60003449	hypothetical protein
CyCOG_60003450	hypothetical protein
CyCOG_60003451	hypothetical protein
CyCOG_60003452	hypothetical protein
CyCOG_60003453	hypothetical protein
CyCOG_60003454	hypothetical protein
CyCOG_60003455	hypothetical protein
CyCOG_60003456	D-glycero-alpha-D-manno-heptose 1-phosphate guanylyltransferase
CyCOG_60003457	hypothetical protein
CyCOG_60003458	ferredoxin
CyCOG_60003459	hypothetical protein
CyCOG_60003460	Predicted dehydrogenase
CyCOG_60003461	hypothetical protein
CyCOG_60003462	methyltransferase, FkbM family
CyCOG_60003463	hypothetical protein
CyCOG_60003464	hypothetical protein
CyCOG_60003465	phage shock protein C (PspC) family protein
CyCOG_60003466	hypothetical protein
CyCOG_60003467	hypothetical protein
CyCOG_60003468	hypothetical protein
CyCOG_60003469	2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
CyCOG_60003470	Permease of the drug/metabolite transporter (DMT) superfamily
CyCOG_60003471	Glycosyl transferase family 2
CyCOG_60003472	hypothetical protein
CyCOG_60003473	SagB-type dehydrogenase domain-containing protein
CyCOG_60003474	hypothetical protein
CyCOG_60003475	N-acetyl sugar amidotransferase
CyCOG_60003476	hypothetical protein
CyCOG_60003477	Arylsulfotransferase (ASST)
CyCOG_60003478	hypothetical protein
CyCOG_60003479	hypothetical protein
CyCOG_60003480	hypothetical protein
CyCOG_60003481	phycocyanobilin lyase alpha subunit
CyCOG_60003482	hypothetical protein
CyCOG_60003483	bile acid:Na+ symporter, BASS family
CyCOG_60003484	hypothetical protein
CyCOG_60003485	hypothetical protein
CyCOG_60003486	hypothetical protein
CyCOG_60003487	Phytanoyl-CoA dioxygenase (PhyH)
CyCOG_60003488	hypothetical protein
CyCOG_60003489	hypothetical protein
CyCOG_60003490	hypothetical protein
CyCOG_60003491	methylglyoxal synthase
CyCOG_60003492	hypothetical protein
CyCOG_60003493	hypothetical protein
CyCOG_60003494	hypothetical protein
CyCOG_60003495	hypothetical protein
CyCOG_60003496	Sulfotransferase family protein
CyCOG_60003497	hypothetical protein
CyCOG_60003498	hypothetical protein
CyCOG_60003499	hypothetical protein
CyCOG_60003500	hypothetical protein
CyCOG_60003501	Predicted HD phosphohydrolase
CyCOG_60003502	hypothetical protein
CyCOG_60003503	hypothetical protein
CyCOG_60003504	TM2 domain-containing protein
CyCOG_60003505	hypothetical protein
CyCOG_60003506	multisubunit sodium/proton antiporter, MrpB subunit
CyCOG_60003507	CubicO group peptidase, beta-lactamase class C family
CyCOG_60003508	hypothetical protein
CyCOG_60003509	Bacteriophage head to tail connecting protein
CyCOG_60003510	hypothetical protein
CyCOG_60003511	hypothetical protein
CyCOG_60003512	hypothetical protein
CyCOG_60003513	hypothetical protein
CyCOG_60003514	hypothetical protein
CyCOG_60003515	hypothetical protein
CyCOG_60003516	hypothetical protein
CyCOG_60003517	hypothetical protein
CyCOG_60003518	Mannose-6-phosphate isomerase, cupin superfamily
CyCOG_60003519	hypothetical protein
CyCOG_60003520	hypothetical protein
CyCOG_60003521	hypothetical protein
CyCOG_60003522	Pimeloyl-ACP methyl ester carboxylesterase
CyCOG_60003523	hypothetical protein
CyCOG_60003524	hypothetical protein
CyCOG_60003525	hypothetical protein
CyCOG_60003526	hypothetical protein
CyCOG_60003527	carotene isomerase
CyCOG_60003528	hypothetical protein
CyCOG_60003529	hypothetical protein
CyCOG_60003530	hypothetical protein
CyCOG_60003531	Uncharacterized conserved protein, DUF58 family, contains vWF domain
CyCOG_60003532	beta-carotene ketolase (CrtW type)
CyCOG_60003533	hypothetical protein
CyCOG_60003534	hypothetical protein
CyCOG_60003535	acetolactate synthase-1/2/3 large subunit
CyCOG_60003536	hypothetical protein
CyCOG_60003537	hypothetical protein
CyCOG_60003538	hypothetical protein
CyCOG_60003539	hypothetical protein
CyCOG_60003540	Glycosyltransferase, GT2 family
CyCOG_60003541	hypothetical protein
CyCOG_60003542	hypothetical protein
CyCOG_60003543	hypothetical protein
CyCOG_60003544	hypothetical protein
CyCOG_60003545	MscS family membrane protein
CyCOG_60003546	hypothetical protein
CyCOG_60003547	hypothetical protein
CyCOG_60003548	hypothetical protein
CyCOG_60003549	hypothetical protein
CyCOG_60003550	hypothetical protein
CyCOG_60003551	hypothetical protein
CyCOG_60003552	hypothetical protein
CyCOG_60003553	hypothetical protein
CyCOG_60003554	hypothetical protein
CyCOG_60003555	hypothetical protein
CyCOG_60003556	hypothetical protein
CyCOG_60003557	hypothetical protein
CyCOG_60003558	hypothetical protein
CyCOG_60003559	hypothetical protein
CyCOG_60003560	multicomponent Na+:H+ antiporter subunit F
CyCOG_60003561	hypothetical protein
CyCOG_60003562	hypothetical protein
CyCOG_60003563	hypothetical protein
CyCOG_60003564	hypothetical protein
CyCOG_60003565	Signal transduction histidine kinase
CyCOG_60003566	hypothetical protein
CyCOG_60003567	hypothetical protein
CyCOG_60003568	hypothetical protein
CyCOG_60003569	Phytochelatin synthase
CyCOG_60003570	hypothetical protein
CyCOG_60003571	hypothetical protein
CyCOG_60003572	hypothetical protein
CyCOG_60003573	hypothetical protein
CyCOG_60003574	hypothetical protein
CyCOG_60003575	hypothetical protein
CyCOG_60003576	Sulfotransferase family protein
CyCOG_60003577	hypothetical protein
CyCOG_60003578	Glycosyltransferase involved in cell wall bisynthesis
CyCOG_60003579	hypothetical protein
CyCOG_60003580	Z1 domain-containing protein
CyCOG_60003581	Monoamine oxidase
CyCOG_60003582	hypothetical protein
CyCOG_60003583	hypothetical protein
CyCOG_60003584	hypothetical protein
CyCOG_60003585	hypothetical protein
CyCOG_60003586	hypothetical protein
CyCOG_60003587	hypothetical protein
CyCOG_60003588	Protein of unknown function (DUF2808)
CyCOG_60003589	hypothetical protein
CyCOG_60003590	hypothetical protein
CyCOG_60003591	hypothetical protein
CyCOG_60003592	hypothetical protein
CyCOG_60003593	hypothetical protein
CyCOG_60003594	Uncharacterized conserved protein, Ntn-hydrolase superfamily
CyCOG_60003595	hypothetical protein
CyCOG_60003596	hypothetical protein
CyCOG_60003597	L-aspartate aminotransferase apoenzyme
CyCOG_60003598	hypothetical protein
CyCOG_60003599	two-component system, OmpR family, response regulator MprA
CyCOG_60003600	Mannose or cellobiose epimerase, N-acyl-D-glucosamine 2-epimerase family
CyCOG_60003601	Lipocalin-like domain-containing protein
CyCOG_60003602	hypothetical protein
CyCOG_60003603	hypothetical protein
CyCOG_60003604	phycocyanobilin lyase alpha subunit
CyCOG_60003605	hypothetical protein
CyCOG_60003606	6-phosphogluconate dehydrogenase
CyCOG_60003607	hypothetical protein
CyCOG_60003608	hypothetical protein
CyCOG_60003609	hypothetical protein
CyCOG_60003610	hypothetical protein
